;Destino;Pais;Descrição;Hospedagem;Passagem;Pais_pt;Pais_en;Currency;ISO Code
50;Capri;Itália;Ruínas romanas por trás de rochedos em uma ilha de apenas 6 quilômetros de comprimento e sua famosa Gruta Azul. Se estiver na ilha da baía de Nápoles, confira o inspirador Jardim de Augusto (Via Giacomo Matteotti), que fica no alto de um penhasco e tem uma vista incrível do mar. O melhor é sair de lá e descer a pé até a marina pela Via Krupp: você demora mais ou menos uma hora, mas vale a pena.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bclass_interval%3D1%3Bdest_id%3D-85411%3Bdest_type%3Dcity%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dcity%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dindex%3Bsrc_elem%3Dsb%3Bss%3DKotor%252C%2520%25E2%2580%258BKotor%2520County%252C%2520%25E2%2580%258BMontenegro%3Bss_all%3D0%3Bss_raw%3DKotor%3Bssb%3Dempty%3Bsshis%3D0%26%3B&amp;ss=Capri%2C+%E2%80%8BCamp%C3%A2nia%2C+%E2%80%8BIt%C3%A1lia&amp;ssne=Kotor&amp;ssne_untouched=Kotor&amp;city=-85411&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=Capri&amp;ac_position=1&amp;ac_langcode=xb&amp;dest_id=-113213&amp;dest_type=city&amp;search_pageview_id=29437b2cbbec0374&amp;search_selected=true&amp;search_pageview_id=29437b2cbbec0374&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens em Capri</em></a>";<em>Busque passagens aéreas para Nápoles</em>;Itália;Italy;Euro;EUR
51;Roma;Itália;Marque um encontro na Piazza Navona ou na Villa Borghese, perto da Coluna de Trajano, no Vaticano... A cidade eterna tem, também, uma gastronomia de enlouquecer. Em qualquer esquina, por cerca de € 3, você pode se deliciar com um tramezzino (sanduíche de pão de fôrma comprido). Agora, se quiser fazer bonito, vá ao La Pergola, que possui três estrelas do Guia Michelin, a distinção máxima de um restaurante. Ele fica dentro do Hotel Hilton, tem uma vista maravilhosa e mais de 50 mil garrafas em sua adega. O chef é o premiado alemão Heinz Beck. Reserve com pelo menos um mês de antecedência.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bcity%3D-85411%3Bclass_interval%3D1%3Bdest_id%3D-113213%3Bdest_type%3Dcity%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dcity%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dsearchresults%3Bsrc_elem%3Dsb%3Bss%3DCapri%252C%2520%25E2%2580%258BCamp%25C3%25A2nia%252C%2520%25E2%2580%258BIt%25C3%25A1lia%3Bss_all%3D0%3Bss_raw%3DCapri%3Bssb%3Dempty%3Bsshis%3D0%3Bssne_untouched%3DKotor%26%3B&amp;ss=Roma%2C+%E2%80%8BLazio%2C+%E2%80%8BIt%C3%A1lia&amp;ssne=Capri&amp;ssne_untouched=Capri&amp;city=-113213&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=Roma++&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=-126693&amp;dest_type=city&amp;search_pageview_id=29437b37b99c0396&amp;search_selected=true&amp;search_pageview_id=29437b37b99c0396&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""><em> Busque hospedagens em Roma</em></a>";<em>Busque passagens aéreas para Roma</em>;Itália;Italy;Euro;EUR
52;Stonehenge;Inglaterra;A finalidade daquelas edificações pré-históricas a uma hora de Londres segue ignorada, o que amplifica seu interesse. Se você pretende aproveitar bem o místico labirinto de pedras e não quiser acordar muito cedo em Londres, considere dormir uma noite em Salisbury. A 20 minutos de Stonehenge, o Holiday Inn Salisbury-Stonehenge é um bom quatro estrelas.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bcity%3D-113213%3Bclass_interval%3D1%3Bdest_id%3D-126693%3Bdest_type%3Dcity%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dcity%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dsearchresults%3Bsrc_elem%3Dsb%3Bss%3DRoma%252C%2520%25E2%2580%258BLazio%252C%2520%25E2%2580%258BIt%25C3%25A1lia%3Bss_all%3D0%3Bss_raw%3DRoma%3Bssb%3Dempty%3Bsshis%3D0%3Bssne_untouched%3DCapri%26%3B&amp;ss=Stonehenge%2C+%E2%80%8BAmesbury%2C+%E2%80%8BWiltshire%2C+%E2%80%8BReino+Unido&amp;ssne=Roma&amp;ssne_untouched=Roma&amp;city=-126693&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=+Stonehenge&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=13836&amp;dest_type=landmark&amp;search_pageview_id=87037b4734d20046&amp;search_selected=true&amp;search_pageview_id=87037b4734d20046&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens próximas de Stonehenge</em></a>";<em>Busque passagens aéreas para Londres</em>;Inglaterra;England;;
53;Museu Hermitage;Rússia;O museu de São Petersburgo deve seu acervo de 3 milhões de peças à corte russa que amava a corte francesa. Depois do Hermitage, que tem uma bela seção de impressionistas, aprecie a Catedral de Santo Isaac, famosa pelas colunas de mármore e esculturas que decoram seu exterior. Conheça a Catedral de Pedro e Paulo, que hoje serve como mausoléu dos czares russos.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bcity%3D-126693%3Bclass_interval%3D1%3Bdest_id%3D13836%3Bdest_type%3Dlandmark%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dlandmark%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dsearchresults%3Bsrc_elem%3Dsb%3Bss%3DStonehenge%252C%2520%25E2%2580%258BAmesbury%252C%2520%25E2%2580%258BWiltshire%252C%2520%25E2%2580%258BReino%2520Unido%3Bss_all%3D0%3Bss_raw%3DStonehenge%3Bssb%3Dempty%3Bsshis%3D0%3Bssne_untouched%3DRoma%26%3B&amp;ss=R%C3%BAssia&amp;ssne=Stonehenge&amp;ssne_untouched=Stonehenge&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=R%C3%BAssia+&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=176&amp;dest_type=country&amp;search_pageview_id=87037b55170702ed&amp;search_selected=true&amp;search_pageview_id=87037b55170702ed&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens na Rússia</em></a>";<em>Busque passagens aéreas para Rússia</em>;Rússia;Russia;Russian ruble;RUB
54;Lisboa;Portugal;A Baixa, a Sé, o Castelo de São Jorge, a Alfama. Muita beleza concentrada a refletir no velho e glorioso Tejo. Uma visita a Lisboa não é completa se você não bailar ao menos uma noite em uma casa de fado clássica, como o restaurante Sr. Vinho, no bairro da Lapa. Lá foi revelada a cantora Mariza, espécie de Cristiano Ronaldo do gênero. Outra opção, perto da Sé, é o Clube do Fado<em>. </em>;"<em><a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bclass_interval%3D1%3Bdest_id%3D176%3Bdest_type%3Dcountry%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dcountry%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dsearchresults%3Bsrc_elem%3Dsb%3Bss%3DR%25C3%25BAssia%3Bss_all%3D0%3Bss_raw%3DR%25C3%25BAssia%3Bssb%3Dempty%3Bsshis%3D0%3Bssne_untouched%3DStonehenge%26%3B&amp;ss=Lisboa%2C+%E2%80%8BRegi%C3%A3o+de+Lisboa%2C+%E2%80%8BPortugal&amp;ssne=R%C3%BAssia&amp;ssne_untouched=R%C3%BAssia&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=Lisboa+&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=-2167973&amp;dest_type=city&amp;search_pageview_id=87037b613663004b&amp;search_selected=true&amp;search_pageview_id=87037b613663004b&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank"">Busque hospedagens em Lisboa</a></em>";<em>Busque passagens áreas para Lisboa</em>;Portugal;Portugal;Euro;EUR
55;Rio Soca;Eslovênia;O rio mais cristalino da Europa percorre 138 quilômetros por entre os Alpes até desaguar no Adriático. Terceiro país mais verde da Europa, atrás das escandinavas Suécia e Finlândia, a Eslovênia fica perto de Veneza e Viena. Se quiser conhecer a capital, Liubliana, a melhor opção é o descolado Célica, que ocupa as instalações de uma antiga prisão, hoje toda grafitada. Com paredes de vidro, os quartos têm vista para o jardim.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bclass_interval%3D1%3Bdest_id%3D-2167973%3Bdest_type%3Dcity%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dcity%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dsearchresults%3Bsrc_elem%3Dsb%3Bss%3DLisboa%252C%2520%25E2%2580%258BRegi%25C3%25A3o%2520de%2520Lisboa%252C%2520%25E2%2580%258BPortugal%3Bss_all%3D0%3Bss_raw%3DLisboa%3Bssb%3Dempty%3Bsshis%3D0%3Bssne_untouched%3DR%25C3%25BAssia%26%3B&amp;ss=Eslov%C3%AAnia&amp;ssne=Lisboa&amp;ssne_untouched=Lisboa&amp;city=-2167973&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=Eslov%C3%AAnia+&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=192&amp;dest_type=country&amp;search_pageview_id=87037b6d36ce0053&amp;search_selected=true&amp;search_pageview_id=87037b6d36ce0053&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens na Eslovênia </em></a>";<em>Busque passagens aéreas para Eslovênia</em>;Eslovênia;Slovenia;Euro;EUR
56;Côte D'Azur;França;Nice, Cannes, St. Tropez. A Riviera Francesa é ainda mais sofisticada em maio, com o Festival de Cannes. Um lugar onde o agito noturno acontece durante todo o ano. Em Marselha, o Trolleybus é uma mescla de pub, balada e espaço cultural para exposições. Em St. Tropez, a badalação rola solta na boate Les Caves du Roy. Antes de partir, não deixe de provar o nougat, especialidade da tradicional Brasserie Sénéquier.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bcity%3D-2167973%3Bclass_interval%3D1%3Bdest_id%3D192%3Bdest_type%3Dcountry%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dcountry%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dsearchresults%3Bsrc_elem%3Dsb%3Bss%3DEslov%25C3%25AAnia%3Bss_all%3D0%3Bss_raw%3DEslov%25C3%25AAnia%3Bssb%3Dempty%3Bsshis%3D0%3Bssne_untouched%3DLisboa%26%3B&amp;ss=Prov%C3%ADncia+de+Alpes-C%C3%B4te+d%27Azur%2C+%E2%80%8BFran%C3%A7a&amp;ssne=Eslov%C3%AAnia&amp;ssne_untouched=Eslov%C3%AAnia&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=C%C3%B4te+D%27Azur+&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=806&amp;dest_type=region&amp;search_pageview_id=88c17b7bbb2600c4&amp;search_selected=true&amp;search_pageview_id=88c17b7bbb2600c4&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens em Côte D'Azur</em></a>";<em>Busque passagens aéreas para Nice</em>;França;France;Euro;EUR
57;Amsterdã;Holanda;Um lugar para ser vivido a pé, de barco ou de bicicleta ou de dentro dos museus e cafés, agora menos esfumaçados. Se você curte design, uma ótima forma de hospedagem que alia custo-benefício é o Citzen M. Com atendentes jovens e simpáticos, o hotel tem mobiliário futurista – toma-se banho em um boxe que lembra uma cápsula. O legal é que ele fica a poucos passos da estação Zuid do trem, de acesso mais rápido ao aeroporto de Schiphol em relação ao Centro.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bclass_interval%3D1%3Bdest_id%3D806%3Bdest_type%3Dregion%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dregion%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dsearchresults%3Bsrc_elem%3Dsb%3Bss%3DProv%25C3%25ADncia%2520de%2520Alpes-C%25C3%25B4te%2520d%2527Azur%252C%2520%25E2%2580%258BFran%25C3%25A7a%3Bss_all%3D0%3Bss_raw%3DC%25C3%25B4te%2520D%2527Azur%3Bssb%3Dempty%3Bsshis%3D0%3Bssne_untouched%3DEslov%25C3%25AAnia%26%3B&amp;ss=Amsterd%C3%A3%2C+%E2%80%8BHolanda+Norte%2C+%E2%80%8BHolanda&amp;ssne=Prov%C3%ADncia+de+Alpes-C%C3%B4te+d%27Azur&amp;ssne_untouched=Prov%C3%ADncia+de+Alpes-C%C3%B4te+d%27Azur&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=Amsterd%C3%A3+&amp;ac_position=1&amp;ac_langcode=xb&amp;dest_id=-2140479&amp;dest_type=city&amp;search_pageview_id=f07e7b8a51010250&amp;search_selected=true&amp;search_pageview_id=f07e7b8a51010250&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens em Amsterdã</em></a>";<em>Busque passagens aéreas para Amsterdã</em>;Holanda;Holland;;
58;Granada;Espanha;O magnífico testamento do domínio árabe na Europa medieval, prenhe de arte, saber e tolerância.   Há uma tradição do século 19: a maioria dos bares da cidade ainda serve tapa grátis (ou com preços muito bons) – os garçons tentavam, forrando o estômago de seus clientes, diminuir o porre dos apreciadores de xerez.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=index&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Findex.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bsb_price_type%3Dtotal%26%3B&amp;ss=Granada%2C+%E2%80%8BAndaluzia%2C+%E2%80%8BEspanha&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=Granada&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=-384328&amp;dest_type=city&amp;search_pageview_id=6b9c7bbb9fd5005d&amp;search_selected=true&amp;search_pageview_id=6b9c7bbb9fd5005d&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0&amp;district_sel=0&amp;airport_sel=0&amp;landmark_sel=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens em Granada</em></a>";<em>Busque passagens aéreas para Granada</em>;Espanha;Spain;Euro;EUR
59;Taormina;Itália;Gema da Sicília encravada no alto de um morro, com ruínas greco-romanas e um mar cristalino de cinema. Contornada pelo Etna, a cidade siciliana mais procurada pelos turistas tem praias que figuram entre as mais belas da Europa. O sol batendo nas primaveras repletas de flores magenta fazem qualquer ruazinha virar um show. Imperdível: tomar um amaro com gelo no centenário bar Wunderbar, no meio do burburinho, e ter como cenário o azul e calmo Mar Jônico.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bclass_interval%3D1%3Bdest_id%3D-384328%3Bdest_type%3Dcity%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dcity%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dindex%3Bsrc_elem%3Dsb%3Bss%3DGranada%252C%2520%25E2%2580%258BAndaluzia%252C%2520%25E2%2580%258BEspanha%3Bss_all%3D0%3Bss_raw%3DGranada%3Bssb%3Dempty%3Bsshis%3D0%26%3B&amp;ss=Taormina%2C+%E2%80%8BSic%C3%ADlia%2C+%E2%80%8BIt%C3%A1lia&amp;ssne=Granada&amp;ssne_untouched=Granada&amp;city=-384328&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=Taormina+&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=-130467&amp;dest_type=city&amp;search_pageview_id=6b9c7bc49a6000a4&amp;search_selected=true&amp;search_pageview_id=6b9c7bc49a6000a4&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens em Taormina </em></a>";<em>Busque passagens aéreas para Catania</em>;Itália;Italy;Euro;EUR
60;Florença;Itália;"A grana do Renascimento ergueu coisas belas e decorou-as com outras mais ainda, como os Botticelli da Ufzi.   Já que estamos na capital artística italiana, uma dica é perder-se pela Piazza della Signoria, o melhor museu a céu aberto florentino. Lá estão esculturas célebres do Renascimento (ou suas réplicas), como a do duque de Médici montado em seu cavalo, criada por Giambologna; O Rapto das Sabinas, também de Giambologna; Il Marzocco, de Donatello; e a cópia da onipresente Davi, de Michelangelo.";"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=index&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Findex.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bsb_price_type%3Dtotal%26%3B&amp;ss=Floren%C3%A7a%2C+%E2%80%8BToscana%2C+%E2%80%8BIt%C3%A1lia&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=Floren%C3%A7a+&amp;ac_position=1&amp;ac_langcode=xb&amp;dest_id=-117543&amp;dest_type=city&amp;search_pageview_id=6b9c7bd850e80360&amp;search_selected=true&amp;search_pageview_id=6b9c7bd850e80360&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0&amp;district_sel=0&amp;airport_sel=0&amp;landmark_sel=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens em Florença</em></a>";<em>Busque passagens aéreas para Florença</em>;Itália;Italy;Euro;EUR
61;Praga;República Tcheca;O gótico, o renascentista, o barroco e o art nouveau em pontes, igrejas, castelos, cafés. Do século 14, na região do bairro de MaláStrana, o mais belo cartão-postal da capital tcheca é a Ponte Carlos, que se estende por 510 metros sobre o Rio Vltava. Ela é vizinha ao Klementinum, complexo barroco formado por três igrejas, um convento e outras tantas casinhas.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=index&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Findex.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bsb_price_type%3Dtotal%26%3B&amp;ss=Floren%C3%A7a%2C+%E2%80%8BToscana%2C+%E2%80%8BIt%C3%A1lia&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=Floren%C3%A7a+&amp;ac_position=1&amp;ac_langcode=xb&amp;dest_id=-117543&amp;dest_type=city&amp;search_pageview_id=6b9c7bd850e80360&amp;search_selected=true&amp;search_pageview_id=6b9c7bd850e80360&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0&amp;district_sel=0&amp;airport_sel=0&amp;landmark_sel=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens em Praga</em></a>";<em>Busque passagens aéreas para Praga</em>;República Tcheca;Czech Republic;Czech koruna;CZK
