,carat,cut,color,clarity,depth,table,x,y,z,price_predict
730,0.3,Very Good,H,SI1,61.3,58.0,4.29,4.33,2.64,1524.6974740959602
731,0.35,Very Good,H,SI1,61.3,55.0,4.55,4.58,2.8,1778.81371977862
732,2.0,Very Good,H,SI1,60.9,58.0,8.07,8.15,4.94,10164.6498273064
733,1.01,Very Good,H,SI1,60.2,60.0,6.5,6.48,3.91,5133.148162789733
734,0.72,Very Good,H,SI1,60.3,55.0,5.84,5.85,3.52,3659.273937830304
735,1.03,Very Good,H,SI1,60.4,60.0,6.41,6.53,3.91,5234.794661062797
736,1.23,Very Good,H,SI1,62.3,58.0,6.79,6.83,4.24,6251.259643793436
737,1.02,Very Good,H,SI1,62.8,59.0,6.33,6.38,3.99,5183.971411926264
738,0.71,Very Good,H,SI1,61.5,56.0,5.71,5.75,3.53,3608.450688693772
739,1.0,Very Good,H,SI1,63.4,56.0,6.37,6.34,4.03,5082.3249136532
740,0.74,Very Good,H,SI1,62.4,58.0,5.71,5.76,3.58,3760.920436103368
741,1.02,Very Good,H,SI1,64.4,59.0,6.24,6.36,4.06,5183.971411926264
742,2.0,Very Good,H,SI1,63.3,59.0,8.02,8.0,5.07,10164.6498273064
743,1.32,Very Good,H,SI1,62.4,58.0,7.02,7.09,4.4,6708.668886022225
744,1.01,Very Good,H,SI1,61.9,57.0,6.36,6.41,3.95,5133.148162789733
745,0.58,Very Good,H,SI1,63.3,56.0,5.34,5.31,3.37,2947.748449918856
746,0.31,Very Good,H,SI1,62.3,55.0,4.34,4.36,2.71,1575.5207232324922
747,0.33,Very Good,H,SI1,63.0,58.0,4.4,4.42,2.78,1677.1672215055562
748,0.51,Very Good,H,SI1,62.0,57.0,5.11,5.19,3.19,2591.985705963132
749,1.0,Very Good,H,SI1,63.6,54.0,6.33,6.37,4.04,5082.3249136532
750,1.04,Very Good,H,SI1,62.8,57.0,6.44,6.48,4.06,5285.617910199328
751,0.56,Very Good,H,SI1,59.9,60.0,5.3,5.35,3.19,2846.1019516457923
752,0.3,Very Good,H,SI1,62.9,58.0,4.24,4.28,2.68,1524.6974740959602
753,0.86,Very Good,H,SI1,59.7,59.0,6.14,6.23,3.69,4370.799425741752
754,0.76,Very Good,H,SI1,61.4,57.0,5.89,5.94,3.63,3862.5669343764325
755,1.17,Very Good,H,SI1,59.6,62.0,6.88,6.82,4.08,5946.320148974244
756,0.9,Very Good,H,SI1,58.7,59.0,6.3,6.35,3.71,4574.09242228788
757,0.31,Very Good,H,SI1,60.5,60.0,4.33,4.4,2.64,1575.5207232324922
758,2.07,Very Good,H,SI1,62.1,59.0,8.15,8.2,5.08,10520.412571262124
759,1.01,Very Good,H,SI1,61.9,59.0,6.4,6.43,3.97,5133.148162789733
760,1.15,Very Good,H,SI1,62.4,57.0,6.68,6.71,4.18,5844.67365070118
761,0.71,Very Good,H,SI1,60.7,60.0,5.73,5.76,3.49,3608.450688693772
762,1.22,Very Good,H,SI1,63.5,55.0,6.78,6.73,4.29,6200.436394656905
763,2.01,Very Good,H,SI1,63.5,57.0,7.96,7.88,5.03,10215.473076442931
764,0.42,Very Good,H,SI1,63.2,58.0,4.79,4.77,3.02,2134.576463734344
765,1.01,Very Good,H,SI1,62.7,59.0,6.27,6.33,3.95,5133.148162789733
766,0.4,Very Good,H,SI1,62.1,62.0,4.7,4.73,2.93,2032.9299654612803
767,1.41,Very Good,H,SI1,62.9,57.0,7.04,7.08,4.44,7166.0781282510125
768,1.02,Very Good,H,SI1,60.3,59.0,6.44,6.5,3.9,5183.971411926264
769,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,1932.2717094337613
770,0.53,Very Good,F,VS1,60.6,57.0,5.21,5.25,3.17,3012.0706058820397
771,1.51,Very Good,F,VS1,61.7,59.0,7.29,7.33,4.51,8581.559650720528
772,0.7,Very Good,F,VS1,60.5,57.0,5.77,5.8,3.5,3978.20646059892
773,0.4,Very Good,F,VS1,60.4,61.0,4.74,4.77,2.87,2273.2608346279544
774,0.27,Very Good,F,VS1,60.5,57.0,4.21,4.23,2.55,1534.4510633738694
775,0.72,Very Good,F,VS1,63.4,57.0,5.68,5.7,3.61,4091.8695023303176
776,1.0,Very Good,F,VS1,60.4,59.0,6.4,6.51,3.9,5683.152086569886
777,0.42,Very Good,F,VS1,59.9,61.0,4.84,4.88,2.91,2386.923876359352
778,1.0,Very Good,F,VS1,62.1,60.0,6.33,6.42,3.96,5683.152086569886
779,1.51,Very Good,F,VS1,59.6,63.0,7.34,7.43,4.4,8581.559650720528
780,0.43,Very Good,F,VS1,63.4,57.0,4.8,4.76,3.03,2443.7553972250507
781,0.54,Very Good,F,VS1,61.6,59.0,5.26,5.2,3.22,3068.9021267477387
782,0.71,Very Good,F,VS1,62.9,55.0,5.68,5.71,3.58,4035.0379814646185
783,0.33,Very Good,F,VS1,59.1,60.0,4.48,4.52,2.66,1875.4401885680625
784,0.31,Very Good,F,VS1,60.9,56.0,4.37,4.38,2.66,1761.7771468366645
785,0.57,Very Good,F,VS1,63.2,56.0,5.27,5.31,3.34,3239.3966893448346
786,0.4,Very Good,F,VS1,61.2,58.0,4.74,4.86,2.94,2273.2608346279544
787,0.43,Very Good,F,VS1,62.2,61.0,4.75,4.83,2.98,2443.7553972250507
788,0.5,Very Good,F,VS1,61.9,62.0,5.02,5.06,3.12,2841.576043284943
789,0.33,Very Good,F,VS1,59.3,56.0,4.49,4.55,2.68,1875.4401885680625
790,0.78,Very Good,F,VS1,63.3,56.0,5.84,5.89,3.71,4432.858627524511
791,0.8,Very Good,F,VS1,63.8,55.0,5.84,5.89,3.74,4546.521669255909
792,0.4,Very Good,F,VS1,60.4,58.0,4.75,4.79,2.88,2273.2608346279544
793,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,4498.7442479688725
794,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,3296.109647026699
795,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,6725.84536082475
796,1.7,Very Good,F,SI2,63.4,57.0,7.54,7.57,4.79,7572.143783709984
797,1.08,Very Good,F,SI2,63.3,59.0,6.48,6.44,4.09,4810.538403768695
798,0.9,Very Good,F,SI2,61.1,54.0,6.27,6.29,3.84,4008.7820031405795
799,1.28,Very Good,F,SI2,62.5,55.0,6.91,7.0,4.35,5701.378848911047
800,0.3,Very Good,F,SI2,62.6,61.0,4.2,4.24,2.64,1336.2606677135266
801,0.9,Very Good,F,SI2,62.0,59.0,6.2,6.1,3.81,4008.7820031405795
802,1.02,Very Good,F,SI2,60.9,58.0,6.43,6.55,3.95,4543.28627022599
803,2.01,Very Good,F,SI2,61.6,56.0,8.17,8.13,5.02,8952.946473680628
804,0.78,Very Good,F,SI2,62.4,59.0,5.86,5.91,3.67,3474.277736055169
805,1.52,Very Good,F,SI2,63.1,60.0,7.25,7.21,4.56,6770.3873830818675
806,1.5,Very Good,F,SI2,62.3,60.0,7.29,7.34,4.56,6681.303338567633
807,1.0,Very Good,F,SI2,62.7,58.0,6.3,6.36,3.97,4454.202225711755
808,1.06,Very Good,F,SI2,60.0,59.0,6.6,6.63,3.97,4721.4543592544605
809,0.35,Very Good,F,SI2,61.2,55.0,4.56,4.57,2.79,1558.9707789991141
810,1.01,Very Good,F,SI2,59.1,57.0,6.57,6.62,3.9,4498.7442479688725
811,0.61,Very Good,F,SI2,62.9,56.6,5.38,5.45,3.4,2717.0633576841706
812,1.02,Very Good,F,SI2,60.0,60.0,6.53,6.57,3.93,4543.28627022599
813,0.91,Very Good,F,SI2,63.3,54.0,6.22,6.14,3.91,4053.3240253976974
814,0.71,Very Good,F,SI2,59.5,58.0,5.82,5.87,3.48,3162.483580255346
815,1.21,Very Good,F,SI2,61.5,61.0,6.77,6.82,4.18,5389.584693111224
816,0.46,Very Good,F,SI2,61.5,56.0,4.98,5.01,3.07,2048.9330238274074
817,0.41,Very Good,F,SI2,60.8,58.0,4.78,4.83,2.92,1826.2229125418194
818,0.34,Very Good,F,SI2,63.5,56.0,4.48,4.44,2.83,1514.428756741997
819,2.09,Very Good,F,SI2,62.7,61.0,8.07,8.14,5.08,9309.282651737567
820,0.72,Very Good,F,SI2,58.5,60.0,5.86,5.93,3.45,3207.0256025124636
821,0.4,Very Good,F,SI2,62.6,53.0,4.7,4.75,2.96,1781.6808902847022
822,0.71,Very Good,F,SI2,63.2,57.0,5.66,5.7,3.59,3162.483580255346
823,0.51,Very Good,F,SI2,62.7,56.0,5.07,5.1,3.19,2271.643135112995
824,1.04,Very Good,F,SI2,63.2,58.0,6.39,6.34,4.02,4632.370314740226
825,0.5,Very Good,F,SI2,62.5,56.0,5.05,5.09,3.17,2227.1011128558775
826,2.01,Very Good,F,SI2,63.3,59.0,7.98,7.89,5.02,8952.946473680628
827,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,4689.900657534245
828,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,1617.2071232876706
829,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,2264.0899726027387
830,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,3989.1109041095874
831,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,6576.64230136986
832,0.29,Ideal,F,VS1,61.6,56.0,4.26,4.31,2.64,1563.3002191780815
833,1.13,Ideal,F,VS1,60.9,57.0,6.73,6.76,4.11,6091.480164383559
834,0.39,Ideal,F,VS1,62.3,57.0,4.65,4.69,2.91,2102.369260273972
835,0.33,Ideal,F,VS1,61.2,56.0,4.46,4.49,2.74,1778.9278356164377
836,1.01,Ideal,F,VS1,62.5,54.0,6.46,6.43,4.03,5444.597315068491
837,0.74,Ideal,F,VS1,61.9,54.0,5.78,5.82,3.59,3989.1109041095874
838,0.41,Ideal,F,VS1,60.6,57.0,4.84,4.79,2.92,2210.1830684931497
839,0.51,Ideal,F,VS1,60.4,56.0,5.18,5.21,3.14,2749.25210958904
840,0.73,Ideal,F,VS1,62.6,56.0,5.73,5.71,3.58,3935.2039999999984
841,0.36,Ideal,F,VS1,61.3,54.0,4.63,4.65,2.84,1940.6485479452047
842,0.36,Ideal,F,VS1,61.5,55.0,4.57,4.61,2.82,1940.6485479452047
843,0.38,Ideal,F,VS1,62.4,54.0,4.64,4.68,2.91,2048.462356164383
844,1.73,Ideal,F,VS1,62.1,57.0,7.73,7.64,4.77,9325.894410958901
845,0.41,Ideal,F,VS1,62.7,55.0,4.77,4.74,2.98,2210.1830684931497
846,0.58,Ideal,F,VS1,60.3,57.0,5.47,5.44,3.29,3126.600438356163
847,0.74,Ideal,F,VS1,62.0,57.0,5.81,5.78,3.6,3989.1109041095874
848,0.99,Ideal,F,VS1,61.0,55.0,6.46,6.52,3.96,5336.783506849313
849,0.52,Ideal,F,VS1,62.2,55.0,5.18,5.14,3.21,2803.159013698629
850,0.35,Ideal,F,VS1,62.4,57.0,4.52,4.49,2.81,1886.7416438356156
851,0.71,Ideal,F,VS1,61.5,57.0,5.74,5.71,3.52,3827.3901917808203
852,1.54,Ideal,F,VS1,60.5,56.0,7.52,7.49,4.54,8301.66323287671
853,1.12,Ideal,F,VS1,61.8,56.0,6.67,6.69,4.13,6037.573260273971
854,0.74,Ideal,F,VS1,62.3,57.0,5.79,5.77,3.6,3989.1109041095874
855,0.72,Ideal,F,VS1,62.0,56.0,5.76,5.73,3.56,3881.2970958904093
856,1.53,Ideal,F,VS1,61.5,59.0,7.38,7.46,4.56,8247.75632876712
857,0.42,Ideal,F,VS1,61.6,56.0,4.82,4.8,2.96,2264.0899726027387
858,0.32,Ideal,F,VS1,61.3,55.0,4.43,4.46,2.72,1725.0209315068487
859,0.32,Ideal,F,VS1,61.7,56.0,4.39,4.42,2.72,1725.0209315068487
860,0.52,Ideal,F,VS1,62.2,55.0,5.14,5.18,3.21,2803.159013698629
861,1.09,Ideal,F,VS1,60.6,57.0,6.62,6.64,4.02,5875.852547945204
862,0.51,Ideal,F,VS1,62.1,56.0,5.15,5.13,3.19,2749.25210958904
863,1.01,Ideal,F,VS1,61.7,56.0,6.48,6.45,3.99,5444.597315068491
864,0.51,Ideal,F,VS1,62.5,55.0,5.08,5.13,3.19,2749.25210958904
865,1.29,Ideal,F,VS1,60.7,57.0,7.08,7.05,4.29,6953.990630136984
866,0.7,Ideal,F,VS1,61.2,58.0,5.7,5.73,3.5,3773.483287671231
867,0.3,Ideal,F,VS1,62.3,56.0,4.26,4.28,2.66,1617.2071232876706
868,1.01,Ideal,F,VS1,61.8,57.0,6.41,6.46,3.98,5444.597315068491
869,0.41,Ideal,F,VS1,62.0,56.0,4.77,4.81,2.97,2210.1830684931497
870,0.8,Ideal,F,VS1,62.4,55.0,5.92,5.88,3.68,4312.552328767122
871,0.34,Ideal,F,VS1,62.1,57.0,4.49,4.53,2.8,1832.8347397260268
872,0.31,Ideal,F,VS1,62.4,55.0,4.37,4.35,2.72,1671.1140273972596
873,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,5891.124849834448
874,1.06,Premium,D,SI2,61.6,61.0,6.59,6.53,4.04,4956.025667321043
875,1.03,Premium,D,SI2,62.5,54.0,6.5,6.42,4.04,4815.760789944033
876,0.7,Premium,D,SI2,60.6,58.0,5.75,5.7,3.47,3272.8471387969153
877,0.34,Premium,D,SI2,60.6,60.0,4.53,4.48,2.73,1589.6686102727876
878,1.46,Premium,D,SI2,62.0,55.0,7.32,7.23,4.51,6826.224032347852
879,1.2,Premium,D,SI2,62.0,58.0,6.84,6.77,4.22,5610.595095080426
880,0.36,Premium,D,SI2,61.5,60.0,4.54,4.6,2.81,1683.1785285241278
881,2.0,Premium,D,SI2,61.6,59.0,8.2,8.09,5.02,9350.991825134044
882,2.11,Premium,D,SI2,60.9,60.0,8.28,8.21,5.02,9865.296375516416
883,1.61,Premium,D,SI2,61.3,58.0,7.56,7.49,4.61,7527.548419232906
884,1.02,Premium,D,SI2,59.7,60.0,6.58,6.55,3.92,4769.0058308183625
885,1.19,Premium,D,SI2,58.6,61.0,6.93,6.89,4.05,5563.840135954756
886,1.01,Premium,D,SI2,58.3,59.0,6.67,6.63,3.88,4722.250871692692
887,0.96,Premium,D,SI2,59.1,58.0,6.53,6.44,3.83,4488.476076064341
888,1.59,Premium,D,SI2,59.4,61.0,7.62,7.56,4.51,7434.038500981565
889,1.1,Premium,D,SI2,62.4,58.0,6.57,6.6,4.11,5143.045503823725
890,2.14,Premium,D,SI2,59.8,59.0,8.4,8.36,5.01,10005.561252893427
891,0.72,Premium,D,SI2,60.2,56.0,5.85,5.82,3.51,3366.3570570482557
892,0.3,Premium,D,SI2,62.3,58.0,4.29,4.32,2.68,1402.6487737701066
893,0.35,Premium,D,SI2,62.3,58.0,4.54,4.48,2.81,1636.4235693984576
894,0.9,Premium,D,SI2,59.2,60.0,6.34,6.3,3.74,4207.94632131032
895,2.0,Premium,D,SI2,61.6,59.0,8.09,8.2,5.02,9350.991825134044
896,0.91,Premium,D,SI2,61.0,61.0,6.24,6.16,3.78,4254.70128043599
897,0.9,Premium,D,SI2,58.1,60.0,6.26,6.24,3.63,4207.94632131032
898,0.33,Premium,D,SI2,61.6,59.0,4.42,4.41,2.72,1542.9136511471174
899,0.5,Premium,D,SI2,62.2,58.0,5.08,5.14,3.18,2337.747956283511
900,0.42,Premium,D,SI2,60.0,61.0,4.89,4.85,2.92,1963.708283278149
901,1.0,Premium,D,SI2,60.3,58.0,6.48,6.45,3.9,4675.495912567022
902,1.74,Premium,D,SI2,61.9,58.0,7.73,7.67,4.77,8135.362887866619
903,1.07,Premium,D,SI2,62.6,61.0,6.49,6.42,4.04,5002.7806264467135
904,0.51,Premium,D,SI2,59.5,61.0,5.19,5.16,3.08,2384.5029154091812
905,1.06,Premium,D,SI2,62.5,56.0,6.61,6.47,4.09,4956.025667321043
906,0.36,Premium,D,SI2,61.2,59.0,4.56,4.59,2.8,1683.1785285241278
907,1.02,Premium,D,SI2,62.8,55.0,6.46,6.38,4.03,4769.0058308183625
908,0.6,Premium,D,SI2,62.0,57.0,5.43,5.35,3.34,2805.297547540213
909,0.53,Premium,D,SI2,59.3,61.0,5.29,5.26,3.13,2478.0128336605217
910,1.09,Premium,D,SI2,61.2,60.0,6.6,6.64,4.05,5096.290544698055
911,1.03,Premium,D,SI2,61.8,60.0,6.45,6.42,3.98,4815.760789944033
912,1.01,Premium,D,SI2,58.0,60.0,6.58,6.53,3.8,4722.250871692692
913,1.14,Premium,D,SI2,59.2,61.0,6.84,6.82,4.04,5330.065340326405
914,0.32,Premium,D,SI2,62.5,58.0,4.38,4.33,2.72,1496.158692021447
915,0.9,Premium,D,SI2,62.3,58.0,6.27,6.05,3.84,4207.94632131032
916,1.6,Premium,D,SI2,61.9,58.0,7.54,7.49,4.65,7480.793460107236
917,1.12,Premium,D,SI2,61.2,59.0,6.7,6.66,4.09,5236.5554220750655
918,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,2163.3466446124785
919,0.31,Premium,E,VS1,61.9,58.0,4.31,4.32,2.67,1764.8354206049166
920,1.0,Premium,E,VS1,61.4,58.0,6.44,6.42,3.95,5693.017485822312
921,1.5,Premium,E,VS1,62.5,58.0,7.28,7.21,4.53,8539.526228733468
922,0.63,Premium,E,VS1,60.4,58.0,5.59,5.64,3.39,3586.6010160680567
923,0.31,Premium,E,VS1,60.2,58.0,4.43,4.38,2.65,1764.8354206049166
924,0.74,Premium,E,VS1,60.9,62.0,5.83,5.8,3.54,4212.83293950851
925,0.4,Premium,E,VS1,61.8,55.0,4.76,4.72,2.93,2277.206994328925
926,0.31,Premium,E,VS1,61.0,60.0,4.37,4.35,2.66,1764.8354206049166
927,0.36,Premium,E,VS1,61.3,58.0,4.58,4.56,2.8,2049.486294896032
928,0.5,Premium,E,VS1,62.8,59.0,5.09,5.0,3.17,2846.508742911156
929,0.3,Premium,E,VS1,61.4,59.0,4.32,4.28,2.64,1707.9052457466935
930,0.6,Premium,E,VS1,61.0,61.0,5.46,5.39,3.31,3415.810491493387
931,0.41,Premium,E,VS1,62.3,59.0,4.76,4.74,2.96,2334.1371691871477
932,1.19,Premium,E,VS1,59.8,58.0,7.01,6.94,4.17,6774.690808128551
933,0.7,Premium,E,VS1,59.4,61.0,5.78,5.74,3.42,3985.112240075618
934,0.46,Premium,E,VS1,61.9,58.0,4.94,4.91,3.05,2618.7880434782637
935,1.07,Premium,E,VS1,62.0,60.0,6.58,6.49,4.05,6091.528709829874
936,0.38,Premium,E,VS1,60.7,59.0,4.65,4.7,2.84,2163.3466446124785
937,1.5,Premium,E,VS1,59.5,61.0,7.46,7.43,4.43,8539.526228733468
938,1.01,Premium,E,VS1,60.8,59.0,6.46,6.42,3.92,5749.947660680535
939,1.52,Premium,E,VS1,60.1,59.0,7.49,7.45,4.49,8653.386578449914
940,1.11,Premium,E,VS1,61.2,58.0,6.69,6.65,4.08,6319.249409262767
941,0.5,Premium,E,VS1,58.8,62.0,5.17,5.14,3.03,2846.508742911156
942,0.33,Premium,E,VS1,60.9,58.0,4.49,4.45,2.72,1878.695770321363
943,1.0,Premium,E,VS1,59.1,59.0,6.56,6.51,3.86,5693.017485822312
944,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,3181.0841476655814
945,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,1966.4883821932685
946,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,5899.465146579805
947,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,3181.0841476655814
948,0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,2024.326275787188
949,0.41,Ideal,F,VVS2,61.7,57.0,4.8,4.73,2.94,2371.353637350706
950,0.23,Ideal,F,VVS2,60.3,57.0,3.99,4.03,2.42,1330.2715526601523
951,0.31,Ideal,F,VVS2,61.7,55.0,4.33,4.36,2.68,1792.9747014115096
952,1.16,Ideal,F,VVS2,60.5,58.0,6.77,6.85,4.12,6709.195656894681
953,0.43,Ideal,F,VVS2,61.9,56.0,4.84,4.82,2.99,2487.0294245385453
954,0.5,Ideal,F,VVS2,62.2,54.0,5.07,5.12,3.17,2891.894679695983
955,0.53,Ideal,F,VVS2,61.3,55.0,5.23,5.27,3.22,3065.408360477742
956,0.32,Ideal,F,VVS2,61.2,55.0,4.43,4.46,2.72,1850.812595005429
957,0.33,Ideal,F,VVS2,61.3,56.0,4.44,4.46,2.73,1908.6504885993488
958,0.52,Ideal,F,VVS2,60.6,56.0,5.22,5.24,3.17,3007.5704668838225
959,0.61,Ideal,F,VVS2,61.5,55.0,5.47,5.53,3.38,3528.1115092290993
960,0.51,Ideal,F,VVS2,62.2,56.0,5.12,5.08,3.17,2949.7325732899026
961,0.28,Ideal,F,VVS2,61.8,56.0,4.22,4.26,2.62,1619.4610206297507
962,0.51,Ideal,F,VVS2,61.8,56.0,5.13,5.16,3.18,2949.7325732899026
963,0.41,Ideal,F,VVS2,61.2,56.0,4.78,4.8,2.93,2371.353637350706
964,1.05,Ideal,F,VVS2,62.1,54.0,6.55,6.52,4.06,6072.978827361565
965,0.37,Ideal,F,VVS2,60.0,59.0,4.64,4.66,2.79,2140.0020629750275
966,0.32,Ideal,F,VVS2,62.1,55.0,4.37,4.39,2.72,1850.812595005429
967,0.33,Ideal,F,VVS2,61.8,54.0,4.47,4.5,2.77,1908.6504885993488
968,0.32,Ideal,F,VVS2,62.0,55.0,4.41,4.39,2.73,1850.812595005429
969,0.38,Ideal,F,VVS2,60.8,53.0,4.72,4.76,2.88,2197.839956568947
970,1.12,Ideal,F,VVS2,61.4,57.0,6.69,6.66,4.1,6477.844082519003
971,0.24,Ideal,F,VVS2,61.6,54.0,4.0,4.09,2.49,1388.1094462540718
972,0.44,Ideal,F,VVS2,60.9,55.0,4.92,4.96,3.01,2544.8673181324652
973,0.41,Ideal,F,VVS2,61.4,56.0,4.76,4.81,2.94,2371.353637350706
974,0.75,Ideal,F,VVS2,61.9,54.0,5.83,5.84,3.61,4337.842019543975
975,1.33,Ideal,F,VVS2,61.9,55.0,7.02,7.07,4.36,7692.439847991315
976,0.41,Ideal,F,VVS2,61.4,56.0,4.81,4.76,2.94,2371.353637350706
977,0.5,Ideal,F,VVS2,62.2,54.0,5.09,5.11,3.17,2891.894679695983
978,0.61,Ideal,F,VVS2,61.8,55.0,5.43,5.47,3.37,3528.1115092290993
979,0.5,Ideal,F,VVS2,62.1,58.0,5.07,5.11,3.16,2891.894679695983
980,1.0,Ideal,F,VVS2,59.7,60.0,6.48,6.52,3.88,5783.789359391966
981,0.32,Ideal,F,VVS2,61.2,57.0,4.43,4.4,2.7,1850.812595005429
982,0.42,Ideal,F,VVS2,61.6,56.0,4.85,4.83,2.98,2429.191530944626
983,0.74,Ideal,F,VVS2,61.5,54.0,5.84,5.86,3.6,4280.004125950055
984,0.3,Ideal,F,VVS2,62.3,54.0,4.32,4.35,2.7,1735.13680781759
985,0.61,Ideal,F,VVS2,61.4,56.0,5.44,5.49,3.36,3528.1115092290993
986,1.05,Ideal,F,VVS2,62.1,54.0,6.52,6.55,4.06,6072.978827361565
987,0.51,Ideal,F,VVS2,61.9,56.0,5.09,5.14,3.16,2949.7325732899026
988,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,3147.519173842843
989,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,5181.300793864372
990,0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,4309.680099569431
991,1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,8231.973223896666
992,0.42,Premium,G,SI1,61.7,58.0,4.8,4.76,2.95,2033.7816200215293
993,0.5,Premium,G,SI1,62.2,60.0,5.07,5.03,3.14,2421.1685952637254
994,1.12,Premium,G,SI1,59.8,58.0,6.79,6.76,4.05,5423.417653390746
995,1.22,Premium,G,SI1,61.2,60.0,6.82,6.75,4.15,5907.65137244349
996,0.71,Premium,G,SI1,60.4,59.0,5.81,5.75,3.49,3438.05940527449
997,0.34,Premium,G,SI1,60.8,59.0,4.56,4.46,2.74,1646.3946447793335
998,0.3,Premium,G,SI1,62.5,61.0,4.29,4.26,2.67,1452.7011571582352
999,0.52,Premium,G,SI1,59.7,60.0,5.22,5.2,3.11,2518.0153390742744
1000,1.22,Premium,G,SI1,63.0,57.0,6.84,6.74,4.28,5907.65137244349
1001,0.7,Premium,G,SI1,61.5,58.0,5.69,5.76,3.52,3389.6360333692155
1002,1.59,Premium,G,SI1,62.3,60.0,7.49,7.42,4.64,7699.316132938647
1003,1.01,Premium,G,SI1,58.8,58.0,6.59,6.51,3.85,4890.760562432725
1004,0.7,Premium,G,SI1,62.0,61.0,5.67,5.62,3.5,3389.6360333692155
1005,0.41,Premium,G,SI1,61.3,58.0,4.76,4.8,2.93,1985.3582481162546
1006,1.08,Premium,G,SI1,59.4,60.0,6.7,6.63,3.96,5229.724165769647
1007,0.4,Premium,G,SI1,61.6,59.0,4.72,4.66,2.89,1936.9348762109803
1008,1.15,Premium,G,SI1,62.6,58.0,6.71,6.65,4.18,5568.687769106568
1009,0.7,Premium,G,SI1,62.2,58.0,5.69,5.76,3.56,3389.6360333692155
1010,0.49,Premium,G,SI1,62.4,58.0,5.05,4.99,3.13,2372.745223358451
1011,0.51,Premium,G,SI1,62.4,58.0,5.07,5.13,3.18,2469.591967169
1012,0.33,Premium,G,SI1,61.1,59.0,4.45,4.42,2.71,1597.9712728740587
1013,1.51,Premium,G,SI1,61.3,61.0,7.41,7.34,4.52,7311.929157696451
1014,2.01,Premium,G,SI1,60.3,59.0,8.23,8.15,4.94,9733.097752960175
1015,1.57,Premium,G,SI1,59.2,59.0,7.6,7.68,4.52,7602.469389128098
1016,0.31,Premium,G,SI1,61.8,60.0,4.35,4.32,2.68,1501.1245290635097
1017,0.73,Premium,G,SI1,60.8,58.0,5.82,5.85,3.55,3534.906149085039
1018,1.16,Premium,G,SI1,63.0,58.0,6.7,6.66,4.21,5617.111141011843
1019,1.15,Premium,G,SI1,62.2,56.0,6.76,6.68,4.18,5568.687769106568
1020,1.02,Premium,G,SI1,63.0,55.0,6.45,6.4,4.05,4939.183934338
1021,1.54,Premium,G,SI1,60.5,61.0,7.47,7.44,4.51,7457.199273412274
1022,2.03,Premium,G,SI1,61.9,59.0,8.14,8.09,5.02,9829.944496770724
1023,0.4,Premium,G,SI1,59.3,59.0,4.82,4.8,2.85,1936.9348762109803
1024,1.54,Premium,G,SI1,61.0,59.0,7.43,7.38,4.52,7457.199273412274
1025,0.9,Premium,G,SI1,61.9,59.0,6.18,6.13,3.81,4358.103471474706
1026,0.43,Premium,G,SI1,62.6,59.0,4.8,4.82,3.01,2082.204991926804
1027,1.15,Premium,G,SI1,63.0,59.0,6.68,6.63,4.19,5568.687769106568
1028,0.71,Premium,G,SI1,58.5,58.0,5.87,5.82,3.42,3438.05940527449
1029,0.52,Premium,G,SI1,60.6,61.0,5.19,5.17,3.14,2518.0153390742744
1030,0.32,Premium,G,SI1,61.0,61.0,4.41,4.38,2.68,1549.5479009687842
1031,0.47,Premium,G,SI1,59.5,60.0,5.09,5.06,3.02,2275.898479547902
1032,0.74,Premium,G,SI1,60.5,58.0,5.93,5.88,3.57,3583.3295209903135
1033,0.91,Premium,G,SI1,58.0,59.0,6.45,6.38,3.72,4406.52684337998
1034,1.11,Premium,G,SI1,62.3,58.0,6.61,6.52,4.09,5374.994281485471
1035,0.72,Premium,G,SI1,60.8,58.0,5.8,5.74,3.51,3486.4827771797645
1036,0.53,Premium,G,SI1,61.0,59.0,5.25,5.21,3.19,2566.438710979549
1037,1.5,Premium,G,SI1,62.3,58.0,7.33,7.27,4.55,7263.505785791176
